Region,GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit
C,337,118,4,4.5,4.5,9.65,1,0.92
E,324,107,4,4,4.5,8.87,1,0.76
C,316,104,3,3,3.5,8,1,0.72
E,322,110,3,3.5,2.5,8.67,1,0.8
B,314,103,2,2,3,8.21,0,0.65
E,330,115,5,4.5,3,9.34,1,0.9
C,321,109,3,3,4,8.2,1,0.75
D,308,101,2,3,4,7.9,0,0.68
D,302,102,1,2,1.5,8,0,0.5
B,323,108,3,3.5,3,8.6,0,0.45
D,325,106,3,3.5,4,8.4,1,0.52
E,327,111,4,4,4.5,9,1,0.84
C,328,112,4,4,4.5,9.1,1,0.78
B,307,109,3,4,3,8,1,0.62
D,311,104,3,3.5,2,8.2,1,0.61
A,314,105,3,3.5,2.5,8.3,0,0.54
E,317,107,3,4,3,8.7,0,0.66
A,319,106,3,4,3,8,1,0.65
B,318,110,3,4,3,8.8,0,0.63
B,303,102,3,3.5,3,8.5,0,0.62
A,312,107,3,3,2,7.9,1,0.64
E,325,114,4,3,2,8.4,0,0.7
A,328,116,5,5,5,9.5,1,0.94
D,334,119,5,5,4.5,9.7,1,0.95
C,336,119,5,4,3.5,9.8,1,0.97
A,340,120,5,4.5,4.5,9.6,1,0.94
E,322,109,5,4.5,3.5,8.8,0,0.76
A,298,98,2,1.5,2.5,7.5,1,0.44
C,295,93,1,2,2,7.2,0,0.46
A,310,99,2,1.5,2,7.3,0,0.54
C,300,97,2,3,3,8.1,1,0.65
B,327,103,3,4,4,8.3,1,0.74
B,338,118,4,3,4.5,9.4,1,0.91
E,340,114,5,4,4,9.6,1,0.9
D,331,112,5,4,5,9.8,1,0.94
B,320,110,5,5,5,9.2,1,0.88
A,299,106,2,4,4,8.4,0,0.64
A,300,105,1,1,2,7.8,0,0.58
B,304,105,1,3,1.5,7.5,0,0.52
A,307,108,2,4,3.5,7.7,0,0.48
E,308,110,3,3.5,3,8,1,0.46
A,316,105,2,2.5,2.5,8.2,1,0.49
B,313,107,2,2.5,2,8.5,1,0.53
A,332,117,4,4.5,4,9.1,0,0.87
C,326,113,5,4.5,4,9.4,1,0.91
B,322,110,5,5,4,9.1,1,0.88
C,329,114,5,4,5,9.3,1,0.86
D,339,119,5,4.5,4,9.7,0,0.89
B,321,110,3,3.5,5,8.85,1,0.82
A,327,111,4,3,4,8.4,1,0.78
D,313,98,3,2.5,4.5,8.3,1,0.76
B,312,100,2,1.5,3.5,7.9,1,0.56
C,334,116,4,4,3,8,1,0.78
C,324,112,4,4,2.5,8.1,1,0.72
C,322,110,3,3,3.5,8,0,0.7
C,320,103,3,3,3,7.7,0,0.64
E,316,102,3,2,3,7.4,0,0.64
B,298,99,2,4,2,7.6,0,0.46
B,300,99,1,3,2,6.8,1,0.36
D,311,104,2,2,2,8.3,0,0.42
C,309,100,2,3,3,8.1,0,0.48
E,307,101,3,4,3,8.2,0,0.47
E,304,105,2,3,3,8.2,1,0.54
C,315,107,2,4,3,8.5,1,0.56
E,325,111,3,3,3.5,8.7,0,0.52
A,325,112,4,3.5,3.5,8.92,0,0.55
C,327,114,3,3,3,9.02,0,0.61
C,316,107,2,3.5,3.5,8.64,1,0.57
E,318,109,3,3.5,4,9.22,1,0.68
B,328,115,4,4.5,4,9.16,1,0.78
E,332,118,5,5,5,9.64,1,0.94
C,336,112,5,5,5,9.76,1,0.96
D,321,111,5,5,5,9.45,1,0.93
E,314,108,4,4.5,4,9.04,1,0.84
B,314,106,3,3,5,8.9,0,0.74
D,329,114,2,2,4,8.56,1,0.72
C,327,112,3,3,3,8.72,1,0.74
D,301,99,2,3,2,8.22,0,0.64
B,296,95,2,3,2,7.54,1,0.44
E,294,93,1,1.5,2,7.36,0,0.46
B,312,105,3,2,3,8.02,1,0.5
D,340,120,4,5,5,9.5,1,0.96
C,320,110,5,5,4.5,9.22,1,0.92
A,322,115,5,4,4.5,9.36,1,0.92
E,340,115,5,4.5,4.5,9.45,1,0.94
E,319,103,4,4.5,3.5,8.66,0,0.76
B,315,106,3,4.5,3.5,8.42,0,0.72
E,317,107,2,3.5,3,8.28,0,0.66
D,314,108,3,4.5,3.5,8.14,0,0.64
B,316,109,4,4.5,3.5,8.76,1,0.74
A,318,106,2,4,4,7.92,1,0.64
A,299,97,3,5,3.5,7.66,0,0.38
C,298,98,2,4,3,8.03,0,0.34
A,301,97,2,3,3,7.88,1,0.44
D,303,99,3,2,2.5,7.66,0,0.36
B,304,100,4,1.5,2.5,7.84,0,0.42
D,306,100,2,3,3,8,0,0.48
D,331,120,3,4,4,8.96,1,0.86
A,332,119,4,5,4.5,9.24,1,0.9
C,323,113,3,4,4,8.88,1,0.79
D,322,107,3,3.5,3.5,8.46,1,0.71
D,312,105,2,2.5,3,8.12,0,0.64
C,314,106,2,4,3.5,8.25,0,0.62
E,317,104,2,4.5,4,8.47,0,0.57
E,326,112,3,3.5,3,9.05,1,0.74
A,316,110,3,4,4.5,8.78,1,0.69
D,329,111,4,4.5,4.5,9.18,1,0.87
D,338,117,4,3.5,4.5,9.46,1,0.91
C,331,116,5,5,5,9.38,1,0.93
B,304,103,5,5,4,8.64,0,0.68
A,305,108,5,3,3,8.48,0,0.61
B,321,109,4,4,4,8.68,1,0.69
E,301,107,3,3.5,3.5,8.34,1,0.62
B,320,110,2,4,3.5,8.56,0,0.72
A,311,105,3,3.5,3,8.45,1,0.59
B,310,106,4,4.5,4.5,9.04,1,0.66
E,299,102,3,4,3.5,8.62,0,0.56
C,290,104,4,2,2.5,7.46,0,0.45
B,296,99,2,3,3.5,7.28,0,0.47
A,327,104,5,3,3.5,8.84,1,0.71
E,335,117,5,5,5,9.56,1,0.94
E,334,119,5,4.5,4.5,9.48,1,0.94
E,310,106,4,1.5,2.5,8.36,0,0.57
A,308,108,3,3.5,3.5,8.22,0,0.61
A,301,106,4,2.5,3,8.47,0,0.57
E,300,100,3,2,3,8.66,1,0.64
A,323,113,3,4,3,9.32,1,0.85
D,319,112,3,2.5,2,8.71,1,0.78
E,326,112,3,3.5,3,9.1,1,0.84
D,333,118,5,5,5,9.35,1,0.92
A,339,114,5,4,4.5,9.76,1,0.96
C,303,105,5,5,4.5,8.65,0,0.77
B,309,105,5,3.5,3.5,8.56,0,0.71
C,323,112,5,4,4.5,8.78,0,0.79
C,333,113,5,4,4,9.28,1,0.89
A,314,109,4,3.5,4,8.77,1,0.82
D,312,103,3,5,4,8.45,0,0.76
C,316,100,2,1.5,3,8.16,1,0.71
A,326,116,2,4.5,3,9.08,1,0.8
B,318,109,1,3.5,3.5,9.12,0,0.78
A,329,110,2,4,3,9.15,1,0.84
B,332,118,2,4.5,3.5,9.36,1,0.9
E,331,115,5,4,3.5,9.44,1,0.92
E,340,120,4,4.5,4,9.92,1,0.97
C,325,112,2,3,3.5,8.96,1,0.8
B,320,113,2,2,2.5,8.64,1,0.81
D,315,105,3,2,2.5,8.48,0,0.75
D,326,114,3,3,3,9.11,1,0.83
B,339,116,4,4,3.5,9.8,1,0.96
A,311,106,2,3.5,3,8.26,1,0.79
E,334,114,4,4,4,9.43,1,0.93
C,332,116,5,5,5,9.28,1,0.94
E,321,112,5,5,5,9.06,1,0.86
E,324,105,3,3,4,8.75,0,0.79
D,326,108,3,3,3.5,8.89,0,0.8
D,312,109,3,3,3,8.69,0,0.77
D,315,105,3,2,2.5,8.34,0,0.7
C,309,104,2,2,2.5,8.26,0,0.65
B,306,106,2,2,2.5,8.14,0,0.61
B,297,100,1,1.5,2,7.9,0,0.52
C,315,103,1,1.5,2,7.86,0,0.57
D,298,99,1,1.5,3,7.46,0,0.53
B,318,109,3,3,3,8.5,0,0.67
A,317,105,3,3.5,3,8.56,0,0.68
E,329,111,4,4.5,4,9.01,1,0.81
B,322,110,5,4.5,4,8.97,0,0.78
C,302,102,3,3.5,5,8.33,0,0.65
C,313,102,3,2,3,8.27,0,0.64
C,293,97,2,2,4,7.8,1,0.64
D,311,99,2,2.5,3,7.98,0,0.65
E,312,101,2,2.5,3.5,8.04,1,0.68
E,334,117,5,4,4.5,9.07,1,0.89
C,322,110,4,4,5,9.13,1,0.86
A,323,113,4,4,4.5,9.23,1,0.89
B,321,111,4,4,4,8.97,1,0.87
A,320,111,4,4.5,3.5,8.87,1,0.85
D,329,119,4,4.5,4.5,9.16,1,0.9
A,319,110,3,3.5,3.5,9.04,0,0.82
D,309,108,3,2.5,3,8.12,0,0.72
D,307,102,3,3,3,8.27,0,0.73
D,300,104,3,3.5,3,8.16,0,0.71
B,305,107,2,2.5,2.5,8.42,0,0.71
C,299,100,2,3,3.5,7.88,0,0.68
E,314,110,3,4,4,8.8,0,0.75
B,316,106,2,2.5,4,8.32,0,0.72
C,327,113,4,4.5,4.5,9.11,1,0.89
D,317,107,3,3.5,3,8.68,1,0.84
D,335,118,5,4.5,3.5,9.44,1,0.93
D,331,115,5,4.5,3.5,9.36,1,0.93
A,324,112,5,5,5,9.08,1,0.88
C,324,111,5,4.5,4,9.16,1,0.9
B,323,110,5,4,5,8.98,1,0.87
D,322,114,5,4.5,4,8.94,1,0.86
B,336,118,5,4.5,5,9.53,1,0.94
B,316,109,3,3.5,3,8.76,0,0.77
E,307,107,2,3,3.5,8.52,1,0.78
D,306,105,2,3,2.5,8.26,0,0.73
A,310,106,2,3.5,2.5,8.33,0,0.73
C,311,104,3,4.5,4.5,8.43,0,0.7
C,313,107,3,4,4.5,8.69,0,0.72
C,317,103,3,2.5,3,8.54,1,0.73
A,315,110,2,3.5,3,8.46,1,0.72
B,340,120,5,4.5,4.5,9.91,1,0.97
D,334,120,5,4,5,9.87,1,0.97
D,298,105,3,3.5,4,8.54,0,0.69
E,295,99,2,2.5,3,7.65,0,0.57
D,315,99,2,3.5,3,7.89,0,0.63
D,310,102,3,3.5,4,8.02,1,0.66
A,305,106,2,3,3,8.16,0,0.64
E,301,104,3,3.5,4,8.12,1,0.68
A,325,108,4,4.5,4,9.06,1,0.79
B,328,110,4,5,4,9.14,1,0.82
B,338,120,4,5,5,9.66,1,0.95
A,333,119,5,5,4.5,9.78,1,0.96
A,331,117,4,4.5,5,9.42,1,0.94
C,330,116,5,5,4.5,9.36,1,0.93
D,322,112,4,4.5,4.5,9.26,1,0.91
A,321,109,4,4,4,9.13,1,0.85
A,324,110,4,3,3.5,8.97,1,0.84
C,312,104,3,3.5,3.5,8.42,0,0.74
A,313,103,3,4,4,8.75,0,0.76
C,316,110,3,3.5,4,8.56,0,0.75
A,324,113,4,4.5,4,8.79,0,0.76
B,308,109,2,3,4,8.45,0,0.71
B,305,105,2,3,2,8.23,0,0.67
C,296,99,2,2.5,2.5,8.03,0,0.61
A,306,110,2,3.5,4,8.45,0,0.63
B,312,110,2,3.5,3,8.53,0,0.64
E,318,112,3,4,3.5,8.67,0,0.71
D,324,111,4,3,3,9.01,1,0.82
B,313,104,3,4,4.5,8.65,0,0.73
A,319,106,3,3.5,2.5,8.33,1,0.74
C,312,107,2,2.5,3.5,8.27,0,0.69
D,304,100,2,2.5,3.5,8.07,0,0.64
A,330,113,5,5,4,9.31,1,0.91
D,326,111,5,4.5,4,9.23,1,0.88
E,325,112,4,4,4.5,9.17,1,0.85
A,329,114,5,4.5,5,9.19,1,0.86
A,310,104,3,2,3.5,8.37,0,0.7
E,299,100,1,1.5,2,7.89,0,0.59
B,296,101,1,2.5,3,7.68,0,0.6
D,317,103,2,2.5,2,8.15,0,0.65
B,324,115,3,3.5,3,8.76,1,0.7
B,325,114,3,3.5,3,9.04,1,0.76
A,314,107,2,2.5,4,8.56,0,0.63
D,328,110,4,4,2.5,9.02,1,0.81
